generations,population,crossover,mutation,elitism,bits,maximize,avg_fitness,std_dev,avg_generations
10,10,0.6,0.01,0.55,10,True,-22.05771225983804,0.09796200665978633,10
10,10,0.6,0.01,0.55,20,True,-22.16657107060102,0.040407793648894984,10
10,10,0.6,0.01,0.55,35,True,-22.034520837983194,0.1358949007139942,10
10,10,0.6,0.01,0.65,10,True,-22.103326559687954,0.10115795050346316,10
10,10,0.6,0.01,0.65,20,True,-21.953674345057838,0.21436238769723015,10
10,10,0.6,0.01,0.65,35,True,-21.964442997756453,0.27723378064152626,10
10,10,0.6,0.01,0.75,10,True,-22.01448336706374,0.16454422028013452,10
10,10,0.6,0.01,0.75,20,True,-22.076280084745818,0.08930837513210121,10
10,10,0.6,0.01,0.75,35,True,-22.055397003801552,0.09793966446380521,10
10,10,0.6,0.03,0.55,10,True,-22.05573126046674,0.19210731634853176,10
10,10,0.6,0.03,0.55,20,True,-22.050593444005052,0.19960413295033963,10
10,10,0.6,0.03,0.55,35,True,-22.05117772661505,0.14100835121039013,10
10,10,0.6,0.03,0.65,10,True,-22.017708548386487,0.2234628313729713,10
10,10,0.6,0.03,0.65,20,True,-22.14133654417151,0.08088844094115029,10
10,10,0.6,0.03,0.65,35,True,-22.05618859655601,0.19920329295761607,10
10,10,0.6,0.03,0.75,10,True,-22.071645118769904,0.08519339369575248,10
10,10,0.6,0.03,0.75,20,True,-22.04413677068116,0.15320213084334963,10
10,10,0.6,0.03,0.75,35,True,-22.02780517728934,0.10900670782015413,10
10,10,0.6,0.05,0.55,10,True,-22.147459345049704,0.061123307754252364,10
10,10,0.6,0.05,0.55,20,True,-22.10734167609273,0.07615369949869688,10
10,10,0.6,0.05,0.55,35,True,-22.134193882497055,0.1472728227467068,10
10,10,0.6,0.05,0.65,10,True,-22.08532635698151,0.09261864544223466,10
10,10,0.6,0.05,0.65,20,True,-22.07115433332213,0.12947214765633525,10
10,10,0.6,0.05,0.65,35,True,-22.05667454877017,0.223340442901773,10
10,10,0.6,0.05,0.75,10,True,-22.074218059850892,0.17271312517777887,10
10,10,0.6,0.05,0.75,20,True,-22.084198238860345,0.17302137778142665,10
10,10,0.6,0.05,0.75,35,True,-22.094942705338273,0.09677306947356029,10
10,10,0.7,0.01,0.55,10,True,-22.00010248974168,0.16753069575462023,10
10,10,0.7,0.01,0.55,20,True,-22.001311509121617,0.12180586275387624,10
10,10,0.7,0.01,0.55,35,True,-21.99510563051359,0.10885169473714638,10
10,10,0.7,0.01,0.65,10,True,-22.066380617012697,0.140394452615988,10
10,10,0.7,0.01,0.65,20,True,-22.085510847772643,0.1467758100293081,10
10,10,0.7,0.01,0.65,35,True,-22.02286064160601,0.16794450464917157,10
10,10,0.7,0.01,0.75,10,True,-22.04310243636075,0.11650153590408086,10
10,10,0.7,0.01,0.75,20,True,-21.996676189969286,0.22314127141504075,10
10,10,0.7,0.01,0.75,35,True,-22.1437355880253,0.05661603248915433,10
10,10,0.7,0.03,0.55,10,True,-22.009664261063826,0.0893070292163621,10
10,10,0.7,0.03,0.55,20,True,-22.054755964632076,0.050234130550653136,10
10,10,0.7,0.03,0.55,35,True,-22.053908561339906,0.15415572939986882,10
10,10,0.7,0.03,0.65,10,True,-22.08761089489714,0.11703004210721274,10
10,10,0.7,0.03,0.65,20,True,-21.977697363518427,0.32474512582681914,10
10,10,0.7,0.03,0.65,35,True,-22.027838051592816,0.10496327956913111,10
10,10,0.7,0.03,0.75,10,True,-22.050485603357362,0.1577516689592827,10
10,10,0.7,0.03,0.75,20,True,-21.972061512015006,0.30804497658496444,10
10,10,0.7,0.03,0.75,35,True,-22.045848248490497,0.11616650314243314,10
10,10,0.7,0.05,0.55,10,True,-21.91174605469062,0.24440239837163355,10
10,10,0.7,0.05,0.55,20,True,-22.03096962825083,0.14226466446812733,10
10,10,0.7,0.05,0.55,35,True,-22.081873465526236,0.15060374636037943,10
10,10,0.7,0.05,0.65,10,True,-22.069069015461036,0.09920507347857867,10
10,10,0.7,0.05,0.65,20,True,-21.95917420069722,0.3286418558491546,10
10,10,0.7,0.05,0.65,35,True,-22.081366423460562,0.17332566003407812,10
10,10,0.7,0.05,0.75,10,True,-21.991522941616456,0.15520514783483055,10
10,10,0.7,0.05,0.75,20,True,-22.06835688150107,0.039839534008349865,10
10,10,0.7,0.05,0.75,35,True,-21.995315293357393,0.23106962886431287,10
10,10,0.8,0.01,0.55,10,True,-22.00609480712583,0.13500299700032586,10
10,10,0.8,0.01,0.55,20,True,-21.912675598882824,0.14542914526338693,10
10,10,0.8,0.01,0.55,35,True,-22.004969551872072,0.21713992636800603,10
10,10,0.8,0.01,0.65,10,True,-22.05231250001953,0.057537837217826036,10
10,10,0.8,0.01,0.65,20,True,-22.014521726701442,0.13543830116785163,10
10,10,0.8,0.01,0.65,35,True,-21.81269416098697,0.2996758384156997,10
10,10,0.8,0.01,0.75,10,True,-22.108527023657338,0.06462106498711345,10
10,10,0.8,0.01,0.75,20,True,-22.138807241512506,0.18073419849021127,10
10,10,0.8,0.01,0.75,35,True,-22.139209268910047,0.09875124642113695,10
10,10,0.8,0.03,0.55,10,True,-22.052469019117687,0.10902720636535473,10
10,10,0.8,0.03,0.55,20,True,-22.08094803828585,0.18909489751210995,10
10,10,0.8,0.03,0.55,35,True,-22.06439257021086,0.17752574204514057,10
10,10,0.8,0.03,0.65,10,True,-21.926706523019924,0.1925477587798947,10
10,10,0.8,0.03,0.65,20,True,-21.967412238702284,0.20038535036994742,10
10,10,0.8,0.03,0.65,35,True,-22.075940414985194,0.1226597681853521,10
10,10,0.8,0.03,0.75,10,True,-22.17429130355569,0.06378349950172649,10
10,10,0.8,0.03,0.75,20,True,-22.083687119236053,0.05596995248708682,10
