generations,population,crossover,mutation,elitism,bits,maximize,avg_fitness,std_dev,avg_generations
10,10,0.6,0.01,0.55,10,True,-6.020271466847918,2.2626626434835035,10
10,10,0.6,0.01,0.55,20,True,-5.41958283196183,2.2240822590635823,10
10,10,0.6,0.01,0.55,35,True,-5.075089441407973,1.738814935874294,10
10,10,0.6,0.01,0.65,10,True,-4.652519201499967,1.8000929712388019,10
10,10,0.6,0.01,0.65,20,True,-5.168068221268049,1.401707821033379,10
10,10,0.6,0.01,0.65,35,True,-5.26502751164078,2.532097699372821,10
10,10,0.6,0.01,0.75,10,True,-4.14237137882606,1.432188222241875,10
10,10,0.6,0.01,0.75,20,True,-3.6267543114161938,2.1633646872357826,10
10,10,0.6,0.01,0.75,35,True,-2.9481312097302563,1.8180540885421692,10
10,10,0.6,0.03,0.55,10,True,-5.762134444808448,1.7052971975426408,10
10,10,0.6,0.03,0.55,20,True,-5.514460453985177,1.9363949208976556,10
10,10,0.6,0.03,0.55,35,True,-4.927422519923882,1.5981426743100335,10
10,10,0.6,0.03,0.65,10,True,-4.3373667299073055,2.4424067339985127,10
10,10,0.6,0.03,0.65,20,True,-3.834623873821283,1.4591397971567701,10
10,10,0.6,0.03,0.65,35,True,-4.806285802897762,3.2699353803611855,10
10,10,0.6,0.03,0.75,10,True,-5.964755088909388,2.211463614654602,10
10,10,0.6,0.03,0.75,20,True,-5.666459355214561,2.508549502451825,10
10,10,0.6,0.03,0.75,35,True,-4.7846167619572855,2.145254972621087,10
10,10,0.6,0.05,0.55,10,True,-5.455370488756188,1.08960055387435,10
10,10,0.6,0.05,0.55,20,True,-5.818147362684257,1.8415752635907494,10
10,10,0.6,0.05,0.55,35,True,-5.093200724029428,2.2010621274057516,10
10,10,0.6,0.05,0.65,10,True,-4.235136669211334,1.4299954304414497,10
10,10,0.6,0.05,0.65,20,True,-4.254829920212931,1.9583709321253178,10
10,10,0.6,0.05,0.65,35,True,-5.070629968322724,1.1603786584556017,10
10,10,0.6,0.05,0.75,10,True,-5.920214604741305,1.8818864817251508,10
10,10,0.6,0.05,0.75,20,True,-5.700708956003,1.5009939191717647,10
10,10,0.6,0.05,0.75,35,True,-3.975514182615856,2.130663949376363,10
10,10,0.7,0.01,0.55,10,True,-5.222464310094225,2.1266290984980234,10
10,10,0.7,0.01,0.55,20,True,-4.879684730366068,2.0324639942294525,10
10,10,0.7,0.01,0.55,35,True,-5.055034276945796,1.7840551327470617,10
10,10,0.7,0.01,0.65,10,True,-3.794872924228437,2.3463559271270578,10
10,10,0.7,0.01,0.65,20,True,-5.52438688573066,2.5649661785628504,10
10,10,0.7,0.01,0.65,35,True,-4.473023187748436,2.826617087069851,10
10,10,0.7,0.01,0.75,10,True,-3.2417980770184833,1.8317998625961691,10
10,10,0.7,0.01,0.75,20,True,-4.451251429866537,0.8882091694620844,10
10,10,0.7,0.01,0.75,35,True,-3.232030437360452,1.3906619818245378,10
10,10,0.7,0.03,0.55,10,True,-5.308197041828951,1.4815890964637017,10
10,10,0.7,0.03,0.55,20,True,-3.587510424326506,1.0188704971206204,10
10,10,0.7,0.03,0.55,35,True,-6.187782463134098,1.1613609921664843,10
10,10,0.7,0.03,0.65,10,True,-5.227224242325082,2.2484217819196504,10
10,10,0.7,0.03,0.65,20,True,-5.711432847843763,1.9766328780988427,10
10,10,0.7,0.03,0.65,35,True,-5.2977618973380505,3.044868938180384,10
10,10,0.7,0.03,0.75,10,True,-5.0651535120284095,1.2636480196245663,10
10,10,0.7,0.03,0.75,20,True,-5.921546439574293,2.3267612867958487,10
10,10,0.7,0.03,0.75,35,True,-5.593275600610241,2.046645542845166,10
10,10,0.7,0.05,0.55,10,True,-4.8429009618484695,2.3103262861805383,10
10,10,0.7,0.05,0.55,20,True,-4.341914120378881,1.8827454729191384,10
10,10,0.7,0.05,0.55,35,True,-6.214628793103687,0.9964392178828327,10
10,10,0.7,0.05,0.65,10,True,-5.058496310611193,1.4469738303113675,10
10,10,0.7,0.05,0.65,20,True,-5.739578271783526,1.1691912887136073,10
10,10,0.7,0.05,0.65,35,True,-5.034774047253774,2.2918865344407706,10
10,10,0.7,0.05,0.75,10,True,-5.552322215760881,1.8857086303977375,10
10,10,0.7,0.05,0.75,20,True,-5.7033000151909485,3.0060774637481384,10
10,10,0.7,0.05,0.75,35,True,-4.666377382497037,2.6542742248899125,10
10,10,0.8,0.01,0.55,10,True,-5.254976098089141,0.771403690090582,10
10,10,0.8,0.01,0.55,20,True,-5.274777516935003,1.7719867700388976,10
10,10,0.8,0.01,0.55,35,True,-6.070225500858125,1.5141865629384483,10
10,10,0.8,0.01,0.65,10,True,-4.292790498155805,1.0369088704602338,10
10,10,0.8,0.01,0.65,20,True,-3.6710882977858623,1.7972888594641812,10
10,10,0.8,0.01,0.65,35,True,-3.2457974765919313,1.5880361057158197,10
10,10,0.8,0.01,0.75,10,True,-5.898673676087123,1.8986329538224513,10
10,10,0.8,0.01,0.75,20,True,-4.837571713003063,1.8275245204983708,10
10,10,0.8,0.01,0.75,35,True,-4.8139351496049265,1.940284369385207,10
10,10,0.8,0.03,0.55,10,True,-5.818661935047482,1.780947825210533,10
10,10,0.8,0.03,0.55,20,True,-5.515256935719365,2.539512712103676,10
10,10,0.8,0.03,0.55,35,True,-5.082820969261198,1.9615307734710508,10
10,10,0.8,0.03,0.65,10,True,-6.451987096301407,1.6643129807107737,10
10,10,0.8,0.03,0.65,20,True,-5.85004555244147,2.351448792694361,10
10,10,0.8,0.03,0.65,35,True,-6.082622977574279,1.408102567336706,10
10,10,0.8,0.03,0.75,10,True,-5.093633338134449,2.2770516159657848,10
10,10,0.8,0.03,0.75,20,True,-5.503396368497667,2.5465659081512495,10
10,10,0.8,0.03,0.75,35,True,-3.48831936689707,2.4942228523784804,10
10,10,0.8,0.05,0.55,10,True,-5.174164022616436,1.8801438159901844,10
10,10,0.8,0.05,0.55,20,True,-5.434645236494067,1.651895269099717,10
10,10,0.8,0.05,0.55,35,True,-6.0569217411037055,0.8537174441221431,10
10,10,0.8,0.05,0.65,10,True,-4.917891862308678,1.1935654526267638,10
10,10,0.8,0.05,0.65,20,True,-5.08015939171713,0.97931774754836,10
10,10,0.8,0.05,0.65,35,True,-4.804924991983165,2.5075367025665534,10
10,10,0.8,0.05,0.75,10,True,-4.804341176187311,2.1783043578741808,10
10,10,0.8,0.05,0.75,20,True,-3.5171624915009385,0.8938708293149491,10
10,10,0.8,0.05,0.75,35,True,-5.646133653449516,1.8532457195300986,10
10,50,0.6,0.01,0.55,10,True,-7.652694255631311,0.39680809219058955,10
10,50,0.6,0.01,0.55,20,True,-7.041602612374885,0.8332923177027415,10
10,50,0.6,0.01,0.55,35,True,-7.606315052894242,0.4215455300906106,10
10,50,0.6,0.01,0.65,10,True,-7.1743785073581625,1.1225306163098696,10
10,50,0.6,0.01,0.65,20,True,-7.1551583285677856,1.1401838823422072,10
10,50,0.6,0.01,0.65,35,True,-6.961923100859237,0.8677647036618593,10
10,50,0.6,0.01,0.75,10,True,-7.108778130900034,0.9100494297597695,10
10,50,0.6,0.01,0.75,20,True,-7.758622389138516,0.4749128621918681,10
10,50,0.6,0.01,0.75,35,True,-6.529110611360576,2.1051492858492096,10
10,50,0.6,0.03,0.55,10,True,-7.414834829112279,0.6598753625330742,10
10,50,0.6,0.03,0.55,20,True,-7.420695732621292,1.1197525294024842,10
10,50,0.6,0.03,0.55,35,True,-7.320388381430672,0.45749835146564427,10
10,50,0.6,0.03,0.65,10,True,-7.040068295346542,0.8565689376279803,10
10,50,0.6,0.03,0.65,20,True,-7.100799656428852,1.08982907898184,10
10,50,0.6,0.03,0.65,35,True,-6.6304815716118535,1.3671691218209532,10
10,50,0.6,0.03,0.75,10,True,-6.326400409265345,1.299590128961254,10
10,50,0.6,0.03,0.75,20,True,-6.61574965320054,1.3220869634491752,10
10,50,0.6,0.03,0.75,35,True,-7.3396076691739545,0.6124826731456953,10
10,50,0.6,0.05,0.55,10,True,-7.7248229200508565,0.4636167361874883,10
10,50,0.6,0.05,0.55,20,True,-7.4437130973667385,0.7952519217131039,10
10,50,0.6,0.05,0.55,35,True,-7.039910024290947,0.984584306160067,10
10,50,0.6,0.05,0.65,10,True,-7.0229975388860195,0.8897776418495302,10
10,50,0.6,0.05,0.65,20,True,-7.587720742427506,0.35736885332597895,10
10,50,0.6,0.05,0.65,35,True,-7.034193528052564,0.9694942856802311,10
10,50,0.6,0.05,0.75,10,True,-7.134727711441914,0.8842075347701435,10
10,50,0.6,0.05,0.75,20,True,-6.394356919371233,1.9904253729729582,10
10,50,0.6,0.05,0.75,35,True,-7.499111119118601,0.4149217048814211,10
10,50,0.7,0.01,0.55,10,True,-7.4094427692164215,0.7106955382200584,10
10,50,0.7,0.01,0.55,20,True,-7.2836157095935565,1.043431172645461,10
10,50,0.7,0.01,0.55,35,True,-7.630005723349541,0.6913081094352617,10
10,50,0.7,0.01,0.65,10,True,-7.564832611708952,0.525309396258041,10
10,50,0.7,0.01,0.65,20,True,-6.8910943501196416,0.7275820085239858,10
10,50,0.7,0.01,0.65,35,True,-7.198503259188025,0.8818998586720035,10
10,50,0.7,0.01,0.75,10,True,-6.298179306107424,0.968102643851808,10
10,50,0.7,0.01,0.75,20,True,-5.980599738120016,1.5935199357903784,10
10,50,0.7,0.01,0.75,35,True,-6.598807508494615,1.117780564544245,10
10,50,0.7,0.03,0.55,10,True,-7.425373699436159,0.8981443835666568,10
10,50,0.7,0.03,0.55,20,True,-7.264218151112838,1.2811879107853363,10
10,50,0.7,0.03,0.55,35,True,-7.483898402247282,0.7263276174141844,10
10,50,0.7,0.03,0.65,10,True,-7.6034398763610245,0.2833153335422561,10
10,50,0.7,0.03,0.65,20,True,-7.555362555878767,0.3096711448055871,10
10,50,0.7,0.03,0.65,35,True,-7.440086935322527,0.4587427755667156,10
10,50,0.7,0.03,0.75,10,True,-6.859990201687766,1.4113836687067542,10
10,50,0.7,0.03,0.75,20,True,-7.186338717235916,0.6959401647294678,10
10,50,0.7,0.03,0.75,35,True,-6.929209842102361,1.436011079740054,10
10,50,0.7,0.05,0.55,10,True,-7.535778578173052,0.28467082368769187,10
10,50,0.7,0.05,0.55,20,True,-6.717274820456751,0.790926038134777,10
10,50,0.7,0.05,0.55,35,True,-7.356468806762254,0.6478303560971475,10
10,50,0.7,0.05,0.65,10,True,-7.484218635084647,0.6904920165287269,10
10,50,0.7,0.05,0.65,20,True,-6.822520389351741,1.2877316325043735,10
10,50,0.7,0.05,0.65,35,True,-7.327560991703212,0.9778530026776425,10
10,50,0.7,0.05,0.75,10,True,-7.087812368534117,0.8935740256390251,10
10,50,0.7,0.05,0.75,20,True,-6.677409187114794,1.1185346263994191,10
10,50,0.7,0.05,0.75,35,True,-7.414248724687197,0.7477923060032995,10
10,50,0.8,0.01,0.55,10,True,-6.82509659078587,0.9777665219422389,10
10,50,0.8,0.01,0.55,20,True,-6.802827897297926,1.5129943856869248,10
10,50,0.8,0.01,0.55,35,True,-7.740768916781918,0.5209867911039202,10
10,50,0.8,0.01,0.65,10,True,-7.404918924662745,0.647198474557889,10
10,50,0.8,0.01,0.65,20,True,-7.593015947822192,0.372438461772615,10
10,50,0.8,0.01,0.65,35,True,-7.407514113339836,0.8263314793391477,10
10,50,0.8,0.01,0.75,10,True,-6.7533059605582935,1.2762068983516723,10
10,50,0.8,0.01,0.75,20,True,-7.140258994718138,0.5500951434093418,10
10,50,0.8,0.01,0.75,35,True,-6.502017997752933,0.5698525717779153,10
10,50,0.8,0.03,0.55,10,True,-7.178632751989955,0.7898193480188734,10
10,50,0.8,0.03,0.55,20,True,-7.661978017737415,0.2593866147450416,10
10,50,0.8,0.03,0.55,35,True,-7.058618250082799,1.3242948508190622,10
10,50,0.8,0.03,0.65,10,True,-7.8446740004353135,0.29130641349682335,10
10,50,0.8,0.03,0.65,20,True,-6.832151986862333,1.0727324613148101,10
10,50,0.8,0.03,0.65,35,True,-7.609699199704316,0.5262718134229925,10
10,50,0.8,0.03,0.75,10,True,-6.662018054120681,0.5243848359983306,10
10,50,0.8,0.03,0.75,20,True,-7.043987710885673,0.7595349385924538,10
10,50,0.8,0.03,0.75,35,True,-7.469335965231141,0.7760782120917331,10
10,50,0.8,0.05,0.55,10,True,-7.876346416250835,0.3119067989030111,10
10,50,0.8,0.05,0.55,20,True,-7.746697874249955,0.31672983994819887,10
10,50,0.8,0.05,0.55,35,True,-7.5137844412331765,0.7936681795690198,10
10,50,0.8,0.05,0.65,10,True,-6.811408166152071,0.9051101335118709,10
10,50,0.8,0.05,0.65,20,True,-7.518100396910259,0.32552352927999373,10
10,50,0.8,0.05,0.65,35,True,-7.438465486433724,0.5322611153705803,10
10,50,0.8,0.05,0.75,10,True,-7.704583457320157,0.4956110953377531,10
10,50,0.8,0.05,0.75,20,True,-6.513160564868417,1.4355974568313854,10
10,50,0.8,0.05,0.75,35,True,-7.38685830408817,0.5901249576508122,10
10,100,0.6,0.01,0.55,10,True,-7.5449409928721565,0.4304298791593848,10
10,100,0.6,0.01,0.55,20,True,-7.779520007788205,0.04712683848729996,10
10,100,0.6,0.01,0.55,35,True,-7.557825167733085,0.2638492657887734,10
10,100,0.6,0.01,0.65,10,True,-7.094480076269249,0.3452736963258371,10
10,100,0.6,0.01,0.65,20,True,-7.533824916230131,0.2902224108638215,10
10,100,0.6,0.01,0.65,35,True,-7.507034415359682,0.44509767410173695,10
10,100,0.6,0.01,0.75,10,True,-7.476461556394912,0.6745981345731324,10
10,100,0.6,0.01,0.75,20,True,-7.2125282079467565,0.8022245893573654,10
10,100,0.6,0.01,0.75,35,True,-7.749684968251165,0.36746572836711605,10
10,100,0.6,0.03,0.55,10,True,-7.855024998355532,0.3023698109591985,10
