generations,population,crossover,mutation,elitism,bits,maximize,avg_fitness,std_dev,avg_generations
10,10,0.6,0.01,0.55,10,True,-63.6425621026249,7.041301334017542,10
10,10,0.6,0.01,0.55,20,True,-61.994670556296086,5.295485206550075,10
10,10,0.6,0.01,0.55,35,True,-57.03754474040228,7.523424776109556,10
10,10,0.6,0.01,0.65,10,True,-62.59993487255654,10.300136681355626,10
10,10,0.6,0.01,0.65,20,True,-60.947611789533184,9.262034569397269,10
10,10,0.6,0.01,0.65,35,True,-60.04763091495364,6.132121195968357,10
10,10,0.6,0.01,0.75,10,True,-56.524663305504234,6.364611242921427,10
10,10,0.6,0.01,0.75,20,True,-58.50490626892744,9.151332248759113,10
10,10,0.6,0.01,0.75,35,True,-58.18222986528831,9.176155812294008,10
10,10,0.6,0.03,0.55,10,True,-67.2329202244315,8.624044542116685,10
10,10,0.6,0.03,0.55,20,True,-62.138802507177736,9.401095336812627,10
10,10,0.6,0.03,0.55,35,True,-65.03896217597664,5.523384600593794,10
10,10,0.6,0.03,0.65,10,True,-63.60513152683269,6.909281945362507,10
10,10,0.6,0.03,0.65,20,True,-68.27537193476057,9.197918038338116,10
10,10,0.6,0.03,0.65,35,True,-63.81877922252642,6.400569081882906,10
10,10,0.6,0.03,0.75,10,True,-65.73777340189943,2.924836595822012,10
10,10,0.6,0.03,0.75,20,True,-56.79483187483847,7.48669799901426,10
10,10,0.6,0.03,0.75,35,True,-64.67558649237868,13.04377748407678,10
10,10,0.6,0.05,0.55,10,True,-65.37968813959341,9.57730851275082,10
10,10,0.6,0.05,0.55,20,True,-67.99281458944854,2.6178095029961987,10
10,10,0.6,0.05,0.55,35,True,-64.68655950282283,5.431733684148261,10
10,10,0.6,0.05,0.65,10,True,-63.85032411609841,6.841716726793441,10
10,10,0.6,0.05,0.65,20,True,-64.71238050231737,8.897353164435081,10
10,10,0.6,0.05,0.65,35,True,-68.01533160743907,6.346466948062994,10
10,10,0.6,0.05,0.75,10,True,-60.910135121859994,9.802751464215326,10
10,10,0.6,0.05,0.75,20,True,-66.39673461308304,7.670581233725349,10
10,10,0.6,0.05,0.75,35,True,-61.66374218379643,7.658701421093618,10
10,10,0.7,0.01,0.55,10,True,-63.02425894986244,4.992712536277924,10
10,10,0.7,0.01,0.55,20,True,-61.97129306051337,6.6197456839212805,10
10,10,0.7,0.01,0.55,35,True,-63.98371790374523,9.192173919641876,10
10,10,0.7,0.01,0.65,10,True,-62.56208500927182,8.015554735625235,10
10,10,0.7,0.01,0.65,20,True,-63.96503577804181,10.334786089316484,10
10,10,0.7,0.01,0.65,35,True,-62.22881349232159,6.842352370189699,10
10,10,0.7,0.01,0.75,10,True,-59.690652917965195,11.168398055416837,10
10,10,0.7,0.01,0.75,20,True,-64.45168827855834,10.094303006159555,10
10,10,0.7,0.01,0.75,35,True,-63.83383509761435,5.893364167416038,10
10,10,0.7,0.03,0.55,10,True,-67.58878451875451,6.13903031100973,10
10,10,0.7,0.03,0.55,20,True,-66.27668264906927,6.131989312086106,10
10,10,0.7,0.03,0.55,35,True,-61.665272412718615,3.9658773685278885,10
10,10,0.7,0.03,0.65,10,True,-61.472844335118516,4.680587452206551,10
10,10,0.7,0.03,0.65,20,True,-56.94859020460148,4.3772632615052,10
10,10,0.7,0.03,0.65,35,True,-64.2868542866317,6.460054478561786,10
10,10,0.7,0.03,0.75,10,True,-56.20392473934841,6.6444152866847865,10
10,10,0.7,0.03,0.75,20,True,-63.04707437858558,8.796326484744784,10
10,10,0.7,0.03,0.75,35,True,-59.95922367165674,9.388949237768175,10
10,10,0.7,0.05,0.55,10,True,-64.623628860043,4.883953743205264,10
10,10,0.7,0.05,0.55,20,True,-65.79857460704751,6.8254420184666325,10
10,10,0.7,0.05,0.55,35,True,-64.80764929778019,7.935535826163692,10
10,10,0.7,0.05,0.65,10,True,-62.36915976795062,5.950641507480668,10
10,10,0.7,0.05,0.65,20,True,-64.86616466142526,5.282097635506949,10
10,10,0.7,0.05,0.65,35,True,-65.6624054469586,8.827334504527965,10
10,10,0.7,0.05,0.75,10,True,-65.72148496463095,9.028715210234148,10
10,10,0.7,0.05,0.75,20,True,-63.73272287391528,9.115741644385036,10
10,10,0.7,0.05,0.75,35,True,-61.50233667994552,5.74937863858816,10
10,10,0.8,0.01,0.55,10,True,-54.93414248557218,10.515554125213075,10
10,10,0.8,0.01,0.55,20,True,-61.50189641312192,15.321075712884904,10
10,10,0.8,0.01,0.55,35,True,-59.16201900704471,6.1962288431832055,10
10,10,0.8,0.01,0.65,10,True,-59.67209070478617,6.021556163023157,10
10,10,0.8,0.01,0.65,20,True,-65.80808578245743,6.756692878517613,10
10,10,0.8,0.01,0.65,35,True,-62.893997386579045,8.84436793210233,10
10,10,0.8,0.01,0.75,10,True,-65.15061824732734,8.11557531106645,10
10,10,0.8,0.01,0.75,20,True,-67.28584491094564,11.904220632163073,10
10,10,0.8,0.01,0.75,35,True,-60.10543553746324,11.146630921292438,10
10,10,0.8,0.03,0.55,10,True,-57.57221564845091,11.352691498123598,10
