generations,population,crossover,mutation,elitism,bits,score,avg_fitness,std_dev
10,97,0.6812,0.0231,0.6012,33,-21.2021873869895,-22.236831474141486,0.06928817430396728
10,56,0.6137,0.0466,0.6558,16,-21.188653850389382,-22.20373617392035,0.030164647061939227
10,49,0.7137,0.0304,0.5924,34,-21.182827766282987,-22.204179797911706,0.04270406325743786
15,61,0.7804,0.0153,0.6996,32,-20.692361065870017,-22.21166544775126,0.03860876376248042
17,86,0.7913,0.0402,0.6008,20,-20.522311259758446,-22.230089952727194,0.015557385937499973
18,11,0.6386,0.039,0.638,25,-20.295639982577743,-22.121345276131077,0.0514105871066692
21,66,0.7442,0.0351,0.5754,16,-20.08611308893724,-22.218643061080396,0.06505994428630833
26,79,0.614,0.0277,0.7119,18,-19.601779767220034,-22.228150791790863,0.05274204914165967
26,62,0.615,0.0436,0.5533,23,-19.5995382144916,-22.219347404216133,0.0396183794490693
28,80,0.6269,0.0426,0.589,20,-19.467128528833197,-22.28205951498998,0.029861972313568973
27,17,0.675,0.0102,0.6345,28,-19.39483750415151,-22.16238353047108,0.13509205263913715
33,85,0.7162,0.0171,0.6149,14,-18.898520377583715,-22.226712088117168,0.05638342106690259
42,63,0.7235,0.0124,0.6291,21,-17.967387140252146,-22.194988151252023,0.0552020219997555
47,53,0.7948,0.0373,0.6304,13,-17.523592210163372,-22.23900089234962,0.03081736437249681
48,71,0.7483,0.0432,0.5992,17,-17.42074347172121,-22.248952942276098,0.05641894110977817
10,97,0.6812,0.0231,0.6012,33,-21.222147719126262,-22.242077449072806,0.039859459893088166
10,56,0.6137,0.0466,0.6558,16,-21.218517062479737,-22.23830518111837,0.03957623727726571
10,49,0.6137,0.0466,0.6558,34,-21.18362292391359,-22.20727527454393,0.04730470126068737
10,56,0.6812,0.0231,0.5988,16,-21.18272245549132,-22.212806388441052,0.06016786589946673
10,49,0.7137,0.0304,0.5924,34,-21.180807679104305,-22.214650636941013,0.06768591567341864
10,49,0.7804,0.0304,0.5924,32,-21.152888349230526,-22.200367147549827,0.0949575966386004
15,61,0.7804,0.0153,0.6996,32,-20.65700699401182,-22.175836191121043,0.037658394218443976
17,97,0.7913,0.0231,0.6008,20,-20.534052193984863,-22.260395778806465,0.052687169643209804
17,86,0.6137,0.0318,0.6558,16,-20.512826841529776,-22.234157587460775,0.04266149186200014
17,86,0.7913,0.0402,0.6008,20,-20.50645741682165,-22.230824151181995,0.04873346872069295
17,49,0.7913,0.0304,0.6008,20,-20.500297927230033,-22.214956335552092,0.029316816644121585
17,61,0.7804,0.0153,0.6996,31,-20.46964460955922,-22.191083165849072,0.042877112579701414
18,11,0.6386,0.039,0.638,25,-20.298173235925404,-22.1482762945412,0.10020611723159151
19,49,0.7137,0.0304,0.5924,34,-20.25847736652437,-22.19072876681164,0.06450280057454738
21,66,0.7442,0.0351,0.5754,16,-20.128796879849588,-22.249947772378142,0.042301785057104906
10,97,0.6812,0.0231,0.5988,16,-21.265606019420957,-22.271778899209856,0.012345759577799056
10,56,0.6812,0.0231,0.5988,16,-21.225955406366754,-22.248662707840005,0.04541460294649726
10,49,0.6137,0.0466,0.6558,34,-21.213478276980634,-22.236947346257395,0.04693813855352156
10,97,0.6812,0.0231,0.6012,33,-21.21253260054769,-22.226952313198073,0.02883942530076662
10,97,0.6812,0.0231,0.6012,16,-21.20808026551226,-22.227356865139328,0.03855319925413433
10,56,0.7137,0.0304,0.5924,16,-21.201148540064636,-22.223246890479302,0.044196700829328854
10,57,0.6812,0.0466,0.5988,16,-21.19645122272072,-22.214183366703214,0.035464287964983514
10,56,0.6137,0.0466,0.6558,16,-21.195580403850716,-22.220055344894096,0.048949882086759454
10,56,0.6137,0.0466,0.6558,16,-21.181051567177978,-22.219623748969052,0.07714436358214762
10,56,0.6812,0.0231,0.5988,16,-21.17964406473361,-22.218060478547372,0.0768328276275288
10,49,0.7804,0.0304,0.5924,32,-21.16009341988402,-22.204406213775854,0.08862558778366769
10,56,0.6137,0.0231,0.6558,16,-21.157201543729524,-22.194568934920216,0.07473478238138404
10,49,0.7137,0.0304,0.5924,34,-21.12749311893101,-22.150738712472304,0.04649118708258533
