generations,population,crossover,mutation,elitism,bits,score,avg_fitness,std_dev
17,99,0.6375,0.0445,0.7455,20,-6.03080630502831,-7.869812982760328,0.27801335546403505
18,84,0.6793,0.048,0.597,18,-5.82866519642672,-7.779560702048953,0.30179101124446694
19,78,0.7993,0.0439,0.6061,28,-5.7602574935006325,-7.735063143917104,0.14961130083294272
16,31,0.6979,0.0182,0.5708,15,-5.739720690587655,-7.567274020607897,0.45510666004048406
19,61,0.7835,0.0285,0.7344,14,-5.397475946923205,-7.4942120968472805,0.3934722998481509
19,40,0.691,0.0472,0.5909,13,-4.997479652811111,-7.271763620990755,0.7485679363592861
32,78,0.6217,0.048,0.6406,26,-4.678572487011538,-7.95651350925302,0.1558820444829652
30,46,0.6113,0.0181,0.6231,23,-4.611366145040399,-7.796835573199182,0.37093885631756746
32,98,0.774,0.0161,0.7294,10,-4.574743761954588,-7.876966084963546,0.20444464601791515
37,52,0.6232,0.0315,0.7313,28,-3.6743937279106422,-7.5252768332145115,0.3017662106077375
43,35,0.6853,0.0485,0.7457,24,-3.6344183393880867,-7.987041744108487,0.10524680944080252
41,67,0.6846,0.0181,0.6742,32,-3.588333367085438,-7.801941897585912,0.22721706100094574
38,28,0.7026,0.0386,0.7266,23,-3.5248054087913165,-7.549845096831451,0.4500793760802676
46,91,0.6171,0.035,0.646,11,-3.4128341925718706,-8.059877561705344,0.09408673826694641
50,70,0.7711,0.0475,0.563,11,-3.030143857680942,-8.05391695823923,0.04754620111657496
18,84,0.6793,0.048,0.597,18,-6.068905452602237,-7.9579192015077265,0.17802749781098098
19,61,0.6375,0.0285,0.7455,14,-6.0338451678796385,-7.971527181743373,0.07536402772746939
19,61,0.7835,0.0285,0.7344,14,-6.030646683326872,-7.9923748457213915,0.12345632478903829
19,78,0.7993,0.0439,0.6061,28,-5.879151975076545,-7.866044808710835,0.1737856672685782
19,78,0.7993,0.048,0.597,28,-5.773920160614845,-7.796401331675015,0.24496234212033763
17,99,0.6375,0.0445,0.7455,20,-5.519680835753026,-7.463378937601074,0.4873962036960953
16,99,0.6375,0.0182,0.5708,15,-5.515671502196771,-7.4827371651122245,0.7341313258309075
19,61,0.7993,0.0439,0.6061,28,-5.514868380010161,-7.716645956846489,0.6035551536726557
19,61,0.7993,0.0439,0.7344,28,-5.4874560603551625,-7.612888903017296,0.45086568532426635
19,61,0.7993,0.0439,0.6061,14,-5.437515850553141,-7.555086053077758,0.4351404050492338
18,31,0.6793,0.0182,0.597,18,-5.425663782668237,-7.432242797695487,0.4131580300545002
19,40,0.691,0.0472,0.5909,13,-5.181977446607275,-7.311507932680665,0.45906097214677866
16,31,0.6979,0.0182,0.5708,15,-4.929674015466439,-6.944137272038862,0.828926513144845
32,78,0.6217,0.048,0.6406,26,-4.860052614444647,-8.069740089024334,0.019374949159375727
16,31,0.6979,0.0285,0.7344,15,-4.699138390830518,-6.7971710323090955,0.9960652829571555
17,99,0.6375,0.0445,0.7455,20,-6.2215713374762425,-7.987973547138531,0.13280441932457715
18,84,0.7377,0.048,0.6061,18,-6.117948387108277,-7.983856342346603,0.13181591047665273
19,78,0.7993,0.048,0.597,18,-6.101873879167194,-8.031396357417877,0.059044956501368595
19,84,0.7993,0.0239,0.597,18,-6.062071842156183,-7.991694550578879,0.05924541684539017
16,99,0.6375,0.0182,0.5708,15,-6.026665550242342,-7.723249047219535,0.19316699395438622
18,99,0.6793,0.048,0.597,18,-6.002707454569211,-7.906940540253565,0.20846617136870854
19,61,0.6375,0.0285,0.7455,14,-5.795482099897285,-7.77338815291653,0.15581210603848925
19,78,0.7835,0.0285,0.597,14,-5.7757324695946055,-7.851253639126573,0.351042339063934
19,61,0.7835,0.0285,0.7344,14,-5.7436820782026325,-7.752236580341617,0.21710900427796914
19,78,0.7993,0.0439,0.6061,28,-5.718075065836855,-7.781919868836746,0.3276896059997805
18,84,0.6793,0.048,0.597,18,-5.699912114942584,-7.68940766112089,0.3789910923566113
19,78,0.7993,0.0439,0.597,28,-5.67089312343915,-7.778649070206505,0.4155118935347097
19,61,0.6793,0.0285,0.597,14,-5.643509714702312,-7.723892021377893,0.3607646133511623
19,78,0.7993,0.048,0.597,28,-5.620150859159631,-7.717552305997443,0.3948028936756219
19,78,0.7993,0.0439,0.597,28,-5.4400613349887745,-7.621864292286516,0.5636059145954819
18,78,0.7377,0.048,0.6061,18,-6.254864498134064,-8.070953756515191,0.03217851676225314
16,99,0.7377,0.0182,0.5708,18,-6.1801700798142924,-7.880446443427359,0.20055272722613185
16,99,0.6375,0.0445,0.5708,15,-6.154514871958739,-7.896759428923924,0.28448911393037235
17,84,0.7377,0.0416,0.6061,20,-6.12851635367717,-7.902967022149985,0.1489013369456314
19,78,0.7993,0.048,0.597,18,-6.0818472068399165,-8.012390323366603,0.06108623305337238
18,99,0.6793,0.048,0.597,18,-6.074468880620805,-7.933885289966816,0.11883281869202185
16,95,0.6375,0.048,0.597,15,-6.05682875836122,-7.796771467201023,0.2798854176796043
16,99,0.6375,0.0182,0.5708,15,-6.030449068173967,-7.78051475393751,0.3001313715270861
16,84,0.7746,0.0182,0.6061,18,-6.00401946818563,-7.71462006377379,0.22120119117631784
18,84,0.7377,0.048,0.6061,18,-5.975296746618082,-7.855031742442013,0.159469991647862
18,84,0.7377,0.048,0.6061,18,-5.725096149404576,-7.731867667914719,0.41354303702028783
17,84,0.7377,0.0445,0.6061,18,-5.706193824984275,-7.6243952944885045,0.4364029390084577
19,84,0.7993,0.0239,0.597,18,-5.60306634721738,-7.673969836142646,0.34180697785053216
17,99,0.6375,0.0445,0.7455,20,-5.332965337880793,-7.4115834427763305,0.7572362097910749
19,61,0.6375,0.0285,0.7455,14,-4.80254256640076,-7.256512260309827,1.1079393878181327
16,95,0.6375,0.048,0.597,15,-6.353229656813587,-8.004212747680215,0.10196618173325625
16,99,0.6375,0.0416,0.5708,20,-6.245967917752802,-7.968230643742449,0.24452545197929212
16,78,0.7993,0.048,0.5708,18,-6.158861134588811,-7.907516295619232,0.2973103220608435
18,99,0.6793,0.048,0.597,18,-6.1477365963527815,-7.995924533214927,0.09637587372429135
18,78,0.7377,0.0414,0.6061,18,-6.115375584468616,-7.96512230525047,0.09949344156370928
16,99,0.7377,0.0182,0.5708,18,-6.104447275299368,-7.861670946136356,0.31444734167397836
16,99,0.6375,0.0182,0.5708,18,-6.09683100357719,-7.879486020134988,0.3653100331155954
18,78,0.7377,0.048,0.6061,18,-6.088701836639927,-7.950041790486072,0.12267990769229006
16,99,0.7993,0.0445,0.597,15,-6.0612918321280524,-7.821215768726686,0.3198478731972693
17,84,0.7993,0.0416,0.597,18,-6.032721263371503,-7.821894834809161,0.17834714287531558
19,84,0.7377,0.048,0.6061,18,-5.972158569456032,-7.9498683358585,0.15541953280493487
19,78,0.7993,0.048,0.597,18,-5.9428362101175845,-7.940586490152849,0.19550056007052807
16,99,0.6375,0.0445,0.5708,15,-5.93598584012055,-7.669051682848615,0.2661316854561295
17,84,0.7377,0.0416,0.6061,20,-5.837875247799819,-7.752069985192973,0.42838947478630746
19,84,0.7993,0.048,0.597,20,-5.529352170235678,-7.599767174724267,0.34083000897717697
16,99,0.6375,0.0416,0.5708,20,-6.426869970579487,-8.056598873390753,0.05945780562253298
16,95,0.6375,0.048,0.597,15,-6.373312820235061,-8.007028296960529,0.067430953450935
16,99,0.7377,0.0182,0.5708,18,-6.24189410813702,-7.924095067267911,0.1644019182617821
16,99,0.6793,0.048,0.5708,18,-6.217608899738073,-7.926530821928294,0.21784384438044277
16,99,0.7993,0.0416,0.5708,20,-6.212433842281868,-7.941738108012661,0.2586085314615858
16,95,0.7993,0.048,0.5708,15,-6.1887524186725305,-7.859712025942047,0.1419192145390315
