generations,population,crossover,mutation,elitism,bits,score,avg_fitness,std_dev
21,64,0.7148,0.028,0.5566,28,-76.6185917947346,-79.11778457006838,0.7983855506675893
32,53,0.7407,0.0151,0.6501,24,-76.07751052262252,-79.73557957706181,0.9161381088785845
40,56,0.7624,0.0213,0.6496,24,-75.88393552330405,-80.12244783821352,0.47702462981892785
46,71,0.7936,0.026,0.7247,19,-75.77383378597679,-80.44036755344536,0.13306753493715356
28,66,0.6756,0.0269,0.6435,34,-75.48962898861235,-78.87247276989089,1.1656875625570715
48,89,0.7711,0.0353,0.6409,31,-75.00064189892389,-80.08304889067483,0.5648139835018804
50,32,0.6013,0.0491,0.6621,20,-74.73329458288435,-79.92521522134055,0.38384127691238046
14,87,0.6865,0.0238,0.6615,22,-74.15830291646634,-77.12561364725646,3.1346214615802213
26,25,0.7115,0.0304,0.6822,17,-72.79394141502713,-77.03778150801956,3.2876801859848803
27,54,0.6039,0.0189,0.6127,22,-71.98500484180084,-76.10274276218749,2.835475840773288
33,35,0.7938,0.0193,0.7212,23,-71.43529049310955,-76.4588814754921,3.4471819647651225
38,33,0.7737,0.0263,0.5907,15,-70.59944054727916,-76.14796707042895,3.4970530462995897
17,17,0.7379,0.0432,0.6398,26,-65.33463266145866,-70.80593773327335,7.542610143629379
45,18,0.7047,0.0204,0.5511,35,-62.88463203526939,-69.65515396673234,4.541043862925892
17,11,0.6219,0.0171,0.6795,31,-60.278376338591336,-66.2349222949783,8.513091912773936
28,53,0.6756,0.0269,0.6501,34,-76.0317218112641,-79.39642808581559,1.1294125491029743
46,71,0.7936,0.026,0.7247,19,-75.57281382955937,-80.33712233216556,0.32861700521239373
40,56,0.7624,0.0213,0.6496,24,-75.56109012371871,-79.94916074255815,0.7761412376788811
46,71,0.7936,0.026,0.7247,16,-75.51277836424435,-80.2361454830735,0.24673423765828809
48,89,0.7711,0.0353,0.6409,31,-75.45275312671215,-80.36237704509301,0.21924783676173099
28,66,0.6756,0.026,0.7247,19,-75.3542227168981,-78.8903971679915,1.472348902186811
28,71,0.6756,0.026,0.6435,19,-74.79635766378362,-78.54458996708938,1.8964646066115192
40,56,0.7148,0.0213,0.6496,24,-74.54385223294221,-79.62059859689603,2.1534927279076275
50,32,0.6013,0.0491,0.6621,20,-73.94938864304844,-79.35264849881078,0.8065197115246966
28,66,0.7624,0.0213,0.6435,24,-73.13519854088915,-77.64882359712739,3.4272501124764956
21,64,0.7148,0.028,0.5566,28,-72.58920464267875,-76.7279109547994,4.077412624241307
28,66,0.6756,0.0269,0.6435,34,-72.44740910333459,-76.86118148742729,3.2275447681853953
13,71,0.6756,0.026,0.7247,34,-72.18359586195754,-74.86321585592916,2.7592399879432374
32,53,0.7407,0.0151,0.6501,24,-71.58327885109289,-77.1931007374157,4.819643772645626
46,56,0.7936,0.0213,0.6496,24,-71.48894248641012,-77.78636301015798,3.3948410474957247
28,53,0.6756,0.0269,0.6501,34,-76.61450800148197,-79.68157275322211,0.5341295034802948
28,89,0.7711,0.0353,0.6409,31,-75.98049596547202,-79.40863294120109,1.2562739514581507
28,71,0.6756,0.026,0.6501,34,-75.94965995992791,-79.5981622914705,1.6970046630851734
28,66,0.6756,0.026,0.7247,19,-75.77847331048575,-79.05329735422991,0.9496480874883175
48,89,0.7711,0.0353,0.6409,31,-75.62324321148684,-80.49738216206038,0.14827790114709247
46,89,0.7711,0.0353,0.6409,31,-75.46348110664977,-80.3269524268793,0.526942640459094
46,71,0.7936,0.026,0.7247,16,-75.35927681787238,-80.2187408608147,0.5189280858846574
46,71,0.7936,0.026,0.7247,19,-75.25488903817758,-80.08206087041731,0.4543436644794636
40,56,0.7624,0.0213,0.6496,24,-74.81995814474459,-79.47173970811482,1.3035631267404804
40,56,0.7624,0.026,0.6496,24,-74.80199923723018,-79.2848998727347,0.965801271009043
28,56,0.7624,0.0269,0.6496,24,-74.79284098521025,-78.74289036710118,2.3000987637818757
42,71,0.7936,0.026,0.6501,34,-74.69788856150267,-79.59540930907605,1.3950414951467587
46,71,0.7711,0.0353,0.7247,19,-74.59455784688416,-79.81581825123797,1.2425208087076394
28,71,0.6756,0.026,0.6435,19,-73.52502325958766,-78.4003204852537,4.150594451332092
28,53,0.7936,0.026,0.7247,19,-72.83893761130558,-77.37874092188042,3.479606621149699
28,71,0.6756,0.0353,0.6409,34,-77.06185272089407,-80.1465129972949,0.5693205528016748
28,71,0.7711,0.027,0.6501,31,-76.79687174891183,-80.00638829545157,0.8190330930794865
28,71,0.6756,0.026,0.6501,34,-76.7728261495514,-79.88215010985837,0.6186479206139426
28,89,0.7711,0.0353,0.6409,31,-76.70293471571097,-79.93858870981637,0.8713079882108058
28,53,0.6756,0.0269,0.6501,34,-76.53397009380802,-79.75247579323567,0.8370113988553168
28,66,0.6756,0.026,0.7247,19,-76.07516387304617,-79.44755240866736,1.1447770712424141
28,66,0.6756,0.026,0.7247,31,-75.6815276823467,-79.23454680904835,1.5060382534033088
48,89,0.6756,0.0353,0.6409,31,-75.66290778773833,-80.55012284308158,0.17443011068650724
46,89,0.7711,0.0353,0.6409,31,-75.55994797063725,-80.36024008255247,0.4005842238304309
48,66,0.6756,0.026,0.6409,31,-75.09939463940019,-80.123820681052,0.4488520833036208
46,71,0.7936,0.026,0.7247,16,-74.97103261442902,-80.03222909985536,0.9223929708526879
28,66,0.6756,0.026,0.6501,19,-74.83285090552616,-78.59569543834952,1.9256890656467434
48,89,0.7711,0.0353,0.6409,31,-74.31822950069507,-79.71648120894277,1.196503416495401
48,41,0.7711,0.0353,0.7247,31,-74.23245547997644,-79.53520969186923,1.005508423785577
48,11,0.7711,0.0353,0.6409,31,-65.87734041658224,-73.25099001012204,5.147299187079598
28,71,0.6756,0.0269,0.6501,34,-77.43394243595647,-80.37264611023645,0.2774073485599754
28,71,0.6756,0.0353,0.6409,31,-77.3178646446236,-80.3032564658943,0.37078364254140306
28,71,0.7711,0.027,0.6501,31,-77.26368113520446,-80.2982633378605,0.4691644053120945
28,71,0.6756,0.0353,0.6409,34,-77.22097754389395,-80.24574249618256,0.449529904577212
28,71,0.7711,0.027,0.6501,34,-76.86354781989816,-79.93451592191657,0.5419362040368335
28,53,0.6756,0.0269,0.6501,34,-76.81123271232357,-79.80892877104917,0.39539211745118474
28,71,0.6756,0.0143,0.6409,34,-76.55829621021248,-79.84166343311513,0.9667344458053108
28,66,0.6756,0.026,0.7247,31,-76.33510856324637,-79.50764189102424,0.7450666555557495
28,89,0.7711,0.0353,0.6409,31,-76.33042110928108,-79.72958427216574,1.1983263257693404
28,71,0.6756,0.026,0.6501,34,-76.2344415893618,-79.64937037089317,1.2298575630627466
28,71,0.7711,0.027,0.6501,31,-76.13420808608724,-79.3746429113961,0.8808696506177004
28,97,0.6756,0.0269,0.6501,34,-75.87553335910444,-79.41385453219368,1.4766423461784932
28,66,0.6756,0.026,0.7247,19,-75.38856848343471,-78.82005705399384,1.2629771411182642
28,89,0.6756,0.0353,0.6409,34,-75.30315198585008,-79.10464545357759,2.0029869354550343
28,71,0.6756,0.027,0.6409,31,-74.40944917117453,-78.5844884058603,2.750078469371541
28,87,0.7711,0.0353,0.6501,34,-77.47426206632822,-80.41848703015549,0.2884499276545271
28,71,0.7711,0.0353,0.6501,31,-77.2632889570793,-80.2254270333042,0.3242761524498058
28,71,0.6756,0.0353,0.6409,31,-76.84196181044143,-79.98758372616857,0.6912438314542683
28,71,0.7711,0.027,0.6501,31,-76.768475891812,-79.9312699199342,0.7255880562443802
28,71,0.7711,0.027,0.6501,34,-76.7212717332819,-79.84922730235174,0.6559111381396754
28,71,0.7711,0.027,0.6501,34,-76.62296499880465,-79.74237945557434,0.638828913539386
28,71,0.6756,0.0269,0.6501,34,-76.43230148024288,-79.61190204302179,0.7592011255578065
28,71,0.6756,0.0353,0.6409,31,-76.18188758184532,-79.52543513235102,1.0870951010114245
28,71,0.6756,0.0143,0.6409,34,-75.99816194452632,-79.21024544760547,0.8241670061583102
28,71,0.6756,0.0353,0.6409,34,-75.80691405733242,-79.55684042467385,1.8998527346828709
28,71,0.7711,0.027,0.6858,31,-75.79273656954476,-79.29094409389505,1.3964150487006015
28,53,0.6756,0.0269,0.6501,34,-75.35208714658636,-79.12971241695607,1.9552505407394165
28,71,0.7711,0.027,0.6501,31,-74.58450285176009,-78.07147174457727,1.3739377856343533
