generations,population,crossover,mutation,elitism,bits,score,avg_fitness,std_dev
31,99,0.7666,0.016,0.6292,23,3.7449069753280915,0.575124940219257,0.13956407021766917
26,79,0.671,0.0132,0.6453,12,5.505232623450379,2.6262900828378197,0.5578850812251189
36,66,0.6756,0.0296,0.6235,18,5.861058352485183,1.7982446704059265,0.925627364158513
41,100,0.7302,0.0484,0.7285,33,5.931449050504331,1.5038876712294404,0.6551227585497806
35,78,0.7269,0.0362,0.5659,25,6.289683722333894,2.727857067052963,0.12365331056186304
39,87,0.7832,0.0336,0.6301,33,6.671085399046449,2.6087622728808544,0.32464625233118954
27,52,0.7108,0.0338,0.7203,11,7.019988646431655,4.093510670326717,0.45295595220987606
36,32,0.6609,0.0387,0.6141,31,7.079345798475025,2.457448410076108,2.0437947767978333
38,19,0.6117,0.0479,0.5637,20,7.351161090284439,2.859456843263612,1.3834084940416522
28,73,0.6714,0.0211,0.7124,16,7.523751628654502,4.364879725298009,0.7177438067129837
20,69,0.7677,0.0204,0.583,19,7.5237625927372545,4.689759525952017,1.6680061335704763
36,14,0.6839,0.0174,0.6071,16,7.732256665990583,3.840929880069605,0.5826535718419559
29,30,0.701,0.0154,0.6418,33,8.769735942743669,4.8679168547793825,2.0036381759285713
22,47,0.63,0.017,0.6931,18,8.826756105650926,6.023465865244385,1.2065804808130793
19,16,0.7791,0.0395,0.6118,28,9.675245008678983,7.218151403758763,1.114187209840439
13,99,0.7666,0.016,0.6235,23,5.252893125880699,3.7607629245400296,0.38426040268133854
31,99,0.7666,0.0362,0.5659,23,5.6973594482248195,1.8875501778007977,1.4196185408480435
39,87,0.7832,0.0336,0.6301,33,5.817984874198677,1.5454338709884496,0.7451020064204531
36,66,0.6756,0.0296,0.6235,18,5.951583287389343,1.821232044927108,1.0607024849244697
26,79,0.671,0.0132,0.6453,12,6.123710282358478,3.275302051622144,0.4968164614726682
35,78,0.7269,0.0362,0.5659,25,6.167493334668043,2.0495266445538354,1.2359333802284163
35,78,0.7269,0.0362,0.5659,25,6.5379961562239295,2.3273631895445055,1.4212659333588487
31,99,0.7666,0.0484,0.7285,23,6.667600726771556,3.0749941246171018,0.9852132043089081
41,100,0.7302,0.0484,0.7285,33,6.926331827304059,2.3675568046815347,0.9175500452450477
41,78,0.7269,0.0362,0.5659,33,7.058898463833918,2.2197446497491127,1.4783076281696095
36,66,0.7302,0.0484,0.7285,18,7.363052233819308,3.505893438439164,0.5143175907602869
36,66,0.6756,0.0296,0.6235,33,7.539124747004494,3.6603252859741415,0.5575989220607048
26,66,0.671,0.0132,0.6427,18,7.63933828808341,3.9750715334426365,2.1285335092815485
31,99,0.7666,0.016,0.6292,23,7.753433676182366,3.6977989977192927,1.911269356926149
27,52,0.7108,0.0338,0.7203,11,7.768061885290114,4.799774748271499,0.5365742740372309
13,87,0.7832,0.0336,0.6301,33,5.656095629398016,4.155814855344035,0.4005615481079614
13,99,0.7666,0.016,0.6235,33,5.743954458133902,3.521836394224103,1.8442361278195973
31,87,0.7832,0.0362,0.5659,23,5.756754689369352,1.9720884195660802,1.3693325396065443
39,87,0.7832,0.0336,0.6301,33,5.765551643826883,1.09666413985969,1.5377750079343853
35,78,0.7269,0.0362,0.5659,25,6.043401035068253,2.23461308090228,0.6175759083319462
31,99,0.7666,0.0362,0.5659,23,6.137694537961398,2.381510697502806,1.312367680917182
35,78,0.7269,0.0362,0.5659,25,6.217757154331452,2.53550103173321,0.36451224519648495
36,66,0.6756,0.0296,0.6235,18,6.28227438201802,2.522565964341162,0.3194168353537149
39,99,0.7832,0.0336,0.6301,23,6.3385667285718155,1.8080685896837037,1.2609962777762231
31,79,0.7666,0.0132,0.5659,23,6.408505882062855,2.5465930937831214,1.5238255765594655
26,79,0.671,0.0132,0.6453,12,6.47975715540469,3.4583503567272853,0.8428135973548094
13,99,0.6875,0.016,0.5659,23,6.722195554459784,5.061760367026532,0.7208703748665032
13,99,0.7666,0.016,0.6235,23,6.975380433930778,4.926779190636746,1.4972024865880629
36,66,0.7666,0.0139,0.5659,23,7.119909334868122,2.8924486493662043,1.2549213710038363
13,66,0.7666,0.0296,0.6235,23,10.367791419695902,6.961372383418828,4.2128380725541446
39,87,0.7832,0.0336,0.6301,33,5.152966470251373,0.9370027995131586,0.631927341476428
13,99,0.7832,0.0336,0.6235,33,5.2568102773988885,3.7390706708095336,0.43547921317870897
35,78,0.7269,0.0362,0.5659,25,5.54643948771388,1.6632570788295837,0.7663648177685931
35,87,0.7832,0.0336,0.5659,33,5.6502502964757735,1.8036162349307863,0.6932681230899732
35,78,0.7269,0.0362,0.5659,25,5.8573295707831425,1.5886855574317822,1.5372880267027202
35,87,0.7832,0.0362,0.5659,25,5.9620960513760615,2.054685170805132,0.8148217611418597
31,99,0.7666,0.0362,0.5659,23,5.990074843441546,2.6978284279323708,0.38449283101835124
13,87,0.7832,0.0336,0.6301,33,6.172254990730842,4.36266308381651,1.0191838138286644
31,87,0.7832,0.0362,0.5659,23,6.268299850376218,2.5408329264633824,1.2549338478256706
35,63,0.7832,0.0362,0.5659,25,6.716198868967465,2.3454051374780835,1.741587462978764
35,87,0.7269,0.0362,0.5659,23,6.743089448844544,2.8729138188348164,0.7403512600194556
13,99,0.7666,0.0336,0.6301,35,6.976807775397622,4.94071218220248,1.4721911863902841
39,99,0.7832,0.0336,0.6301,33,6.994012551929672,2.865480126271872,0.45706485131560004
13,87,0.7666,0.016,0.6235,33,8.376118964691504,5.640461958199548,2.871314012983909
13,99,0.7666,0.016,0.6235,33,9.056818385030175,5.864547837066435,3.7845410959274792
35,87,0.7832,0.0336,0.5659,33,5.043377490833657,1.3048432864805755,0.47706840870616224
35,99,0.7832,0.0362,0.6235,25,5.144156658653903,1.1654153428062206,0.9574826316953641
35,99,0.7269,0.0336,0.6235,25,5.339667729740429,1.8179226738810137,0.04349011171883122
35,78,0.7269,0.0362,0.5659,25,5.4022969953054485,1.1791819483883323,1.4462300938342318
35,78,0.7269,0.0362,0.5659,25,5.59380025584943,1.4815525595301928,1.2244953926384758
35,78,0.7269,0.0362,0.5659,25,5.646598173652306,1.4682127965959713,1.356770754112669
35,87,0.7832,0.0362,0.5659,25,5.675245363585317,1.4998394835570992,1.350811760056436
35,87,0.7269,0.0336,0.5659,33,5.874368207306561,1.5431218566974505,1.6624927012182202
31,99,0.7666,0.0362,0.5659,23,5.875607019158968,2.272595953597966,1.0060221311220041
35,87,0.7832,0.0336,0.5659,33,5.880077198214748,1.8439860307805103,1.0721823348684756
35,99,0.7832,0.0336,0.6235,33,5.94829377970631,1.9311734103519897,1.0342407387086392
39,87,0.7832,0.0121,0.5659,33,6.17645423331107,1.9991521475406444,0.5546041715408488
39,87,0.7832,0.0336,0.6301,33,6.814354292952491,2.7826893431626614,0.2633298995796598
35,87,0.7832,0.0336,0.5659,33,6.855442209021366,3.125621567053402,0.4596412839359268
13,99,0.7832,0.0336,0.6235,33,8.068636620753836,5.838152960670143,1.8609673201673842
35,99,0.7269,0.0336,0.5659,12,4.459033175591632,0.9000828937759301,0.11790056363140303
35,78,0.7269,0.0362,0.5659,25,5.261227435974924,1.3629116844717097,0.796631503006428
35,78,0.7269,0.0362,0.5659,25,5.561770329692573,1.3806706024875723,1.3621994544100016
35,99,0.7832,0.0362,0.6235,25,5.601837295138434,1.7297829343196587,0.7441087216375518
35,99,0.7269,0.0336,0.6235,25,5.782906342709241,1.537572278456606,1.4906681285052699
35,87,0.7832,0.0336,0.5659,33,5.7925060417595855,1.6317923746911214,1.3214273341369287
35,87,0.7832,0.0362,0.5659,25,5.9305084774648495,2.1397095549987553,0.5815978449321892
35,78,0.7269,0.0362,0.5659,25,6.075009140058581,2.4484751132827864,0.253068053551589
35,78,0.7269,0.0336,0.6235,25,6.30190904349587,2.024525281410421,1.554767524170898
35,87,0.7832,0.0362,0.5659,33,6.385212831453776,2.3662585839423915,1.0379084950227682
35,78,0.7269,0.0362,0.6235,25,6.388465735915979,2.1854135666722083,1.4061043384875418
35,78,0.7269,0.0362,0.5659,25,6.499148377976605,2.865303756037852,0.26768924387750515
35,78,0.7269,0.0362,0.5659,25,6.803403447197947,3.0441876945979307,0.5184315052000338
35,87,0.7832,0.0362,0.5659,25,6.999536432347316,3.3405497465005487,0.3179733716935344
35,22,0.7832,0.0362,0.6235,25,7.936644074897234,4.0285835161417065,0.8161211175110545
35,78,0.7269,0.0336,0.5659,12,4.315471570175711,0.5973330771298883,0.4362769860916445
35,78,0.606,0.0336,0.5659,25,4.943111891250981,1.1789194464040216,0.5283848896939175
35,87,0.7832,0.0336,0.5659,33,5.443741729128462,1.388876923813211,1.109729610630502
35,78,0.7269,0.0336,0.5659,25,5.687750596910388,1.4768651095830692,1.4217709746546379
35,99,0.7269,0.0336,0.6235,25,5.808417640793279,1.7522342671359696,1.1123667473146197
35,99,0.7835,0.0336,0.6235,25,5.989195780640797,2.0823593196401693,0.8136729220012556
35,99,0.7269,0.0362,0.6235,25,6.068572254325113,1.876180000645909,1.3847845073584075
35,78,0.7269,0.0362,0.5659,25,6.115519624464004,2.4474094803677144,0.3362202881925788
35,87,0.7832,0.0362,0.5659,25,6.22647282123522,2.444477230451662,0.5639911815671145
35,78,0.7269,0.0362,0.5659,25,6.399828011614131,2.818799875028459,0.16205627317134422
35,99,0.7269,0.0336,0.5659,12,6.445518845628855,2.663016237155711,0.5650052169462874
