generations,population,crossover,mutation,elitism,bits,score,avg_fitness,std_dev
12,34,0.7923,0.0106,0.6754,20,-4.486378434134315,-5.827424637726188,0.28209240718374456
18,84,0.7044,0.0218,0.614,16,-4.460205256617052,-6.305397801157073,0.09038508908004224
16,45,0.727,0.0121,0.6286,10,-4.141321953956519,-5.924766849099976,0.3668897902869154
21,56,0.7807,0.0264,0.7452,24,-4.0661931209169335,-6.301478524721234,0.2705708076086021
20,88,0.6493,0.0108,0.6145,20,-4.064301247309476,-6.219978135261952,0.3113537759049519
15,61,0.7943,0.0413,0.7177,14,-3.987348597086127,-5.8674057016266925,0.7601142090811317
21,82,0.7236,0.0257,0.6852,21,-3.78921186885804,-6.159270683497845,0.5401176292796106
16,54,0.7927,0.039,0.7461,17,-3.6468439966913606,-5.805623098473953,1.117558203565185
22,60,0.7897,0.0146,0.6749,10,-3.4757025565797974,-5.905439788717037,0.45947446427447775
21,28,0.794,0.0164,0.7457,28,-3.0292410506912293,-5.208470512811326,0.15845892424019375
41,67,0.6317,0.0461,0.6177,14,-2.447296013115163,-6.548318819593429,0.0020456129565309253
30,67,0.7748,0.0126,0.5507,13,-2.4307479647223165,-5.8470623904103585,0.8326288513760848
36,58,0.7842,0.0404,0.7127,10,-2.3220548641298833,-6.195998564540792,0.5478874008218169
46,89,0.735,0.0174,0.7343,10,-1.7346676573581066,-6.382035378956202,0.09473544319618898
48,56,0.776,0.0401,0.5785,28,-1.5105646741342111,-6.372936769720557,0.12474419117268981
18,84,0.7044,0.0218,0.614,16,-4.596390530773556,-6.433492276848008,0.07420349214890284
20,88,0.6493,0.0108,0.7452,20,-4.374450870518723,-6.422294187707892,0.09568663437833798
21,88,0.6493,0.0108,0.6145,20,-4.362805965626052,-6.484060019287687,0.04250810732327057
21,82,0.7236,0.0257,0.6852,21,-4.288131246424223,-6.430358451421136,0.08445440999382578
20,88,0.6493,0.0108,0.6145,20,-4.2162552018524755,-6.332852993185465,0.23319558266597892
21,84,0.7949,0.0264,0.7452,24,-4.2104306722545335,-6.324098246585391,0.027335148661717424
12,45,0.727,0.0121,0.6754,10,-4.062487555541347,-5.654431494055488,0.7838878770282811
12,56,0.7923,0.0106,0.7452,24,-3.9483052238909684,-5.540886419027753,0.7851623902735703
21,56,0.7807,0.0264,0.7452,24,-3.9310309622159507,-6.188678603913803,0.3152952833957042
12,34,0.7923,0.0106,0.6754,20,-3.686733800442398,-5.387638412326409,1.0018092237680225
12,34,0.7923,0.0106,0.7452,20,-3.377543340083424,-5.417377755634826,1.6796688311028032
20,88,0.6493,0.0218,0.614,20,-3.354686347324355,-5.628336548694101,0.5473004027394922
15,61,0.7943,0.0413,0.7177,14,-3.1623058556401595,-5.1448638396150725,0.9651159679498258
12,34,0.727,0.0106,0.6754,10,-2.953088199429164,-4.8219483936365775,1.3377203884148268
16,45,0.727,0.0121,0.6286,10,-2.953023376829496,-5.281901203538861,1.457755653418729
21,84,0.7949,0.0264,0.7452,24,-4.422388740191266,-6.527822842966022,0.010868205549510542
18,84,0.7044,0.0218,0.614,16,-4.353021503038783,-6.249121141252296,0.19219927642702644
20,88,0.6493,0.0108,0.7452,20,-4.319094512626526,-6.374061490581212,0.10993395590937222
21,88,0.6493,0.0108,0.6145,21,-4.301020784737858,-6.428063407194336,0.054085244912955945
21,88,0.7236,0.0108,0.6145,20,-4.28011500843491,-6.420799096468406,0.08136817606699247
21,82,0.7044,0.0257,0.5871,16,-4.101268410497605,-6.306965377916488,0.21139393483776642
21,85,0.7236,0.0108,0.6852,20,-4.023033987871138,-6.281972696857204,0.3178774179721329
21,84,0.7044,0.0257,0.614,21,-3.924203532549869,-6.24564460590227,0.4428821467048017
20,82,0.7236,0.016,0.7452,20,-3.9120038955967082,-6.09710643656091,0.3702050819284031
21,88,0.6493,0.0108,0.6145,20,-3.89617322096429,-6.160032527060262,0.32771861219194376
12,45,0.727,0.0121,0.6754,10,-3.860263104256571,-5.522099785386086,0.9236733622590289
20,84,0.7044,0.0108,0.614,16,-3.731322545744896,-6.017461890834746,0.5722786901797009
21,82,0.7236,0.0108,0.6578,20,-3.653909681351672,-5.978448599031065,0.44907783535878576
21,82,0.7236,0.0257,0.6852,21,-2.5240977954716644,-5.264184111651888,1.280172632360446
20,88,0.6493,0.0108,0.6145,20,inf,inf,inf
