generations,population,crossover,mutation,elitism,bits,score,avg_fitness,std_dev
28,90,0.7484,0.0463,0.6787,11,4.669403564342655,1.3758417358859276,0.9871236569134549
16,91,0.7476,0.0488,0.7202,14,4.986933838058164,2.366848084275052,2.0401715075662232
11,77,0.7335,0.037,0.5885,32,5.006209263889518,2.983214576971774,1.8459893738354893
33,78,0.7798,0.023,0.5673,21,5.3640843030012935,1.7914669820712856,0.5452346418600152
44,95,0.7663,0.042,0.6152,16,5.572219448236272,0.975380472668751,0.3936779511350401
19,58,0.6383,0.0303,0.6339,15,5.611621527051376,3.186972586873272,1.0492978803562072
35,51,0.7275,0.0265,0.7175,12,5.814363891932247,1.9297229875528774,0.7692818087587402
33,16,0.6519,0.0416,0.6861,20,5.817030427279009,2.0782482883188336,0.8775642779203523
39,83,0.6006,0.0178,0.5905,29,5.862556768184688,1.8174003899314488,0.2903127565064775
42,99,0.6326,0.0474,0.7379,21,5.948460023725081,1.3602244766301794,0.7764710941898024
11,92,0.6813,0.024,0.6971,12,6.128920270608502,3.6167192937753048,2.8244019536663934
40,74,0.7684,0.0329,0.7115,33,6.151839302945181,1.3559183254568445,1.5918419549766727
31,15,0.7034,0.0473,0.738,18,7.416646808561881,3.533969091031779,1.5653554350602024
32,10,0.7215,0.0306,0.6931,33,9.52664353796025,5.446185781689601,1.760915512541299
26,17,0.6759,0.0356,0.7321,15,9.742023141133238,4.874930303560258,4.5341856751459595
11,77,0.7335,0.037,0.5885,32,2.9150344260008088,1.2052528105418194,1.2195632309179787
19,58,0.6383,0.0303,0.6339,15,3.8889768872153407,1.685419778844994,0.6071142167406928
16,91,0.7335,0.0488,0.5885,32,4.345932489649618,1.9810469190097646,1.5297711412797081
28,90,0.7476,0.0463,0.6787,11,4.548488543733641,1.5279163519153265,0.4411443836366283
28,90,0.7484,0.0463,0.6787,11,4.844976684953563,1.5191559625330733,1.0516414448409788
33,78,0.7476,0.0488,0.7202,21,5.05767691276915,1.2903083507731747,0.9347371239919487
16,91,0.7476,0.0488,0.7202,14,5.177812874546877,2.7534980903655626,1.6486295683626278
16,78,0.7798,0.023,0.7202,18,5.324128314645298,2.467638740077762,2.512979149135072
35,51,0.7275,0.0265,0.7175,12,5.439079457159659,1.6708012093467726,0.5365564956257721
44,91,0.7663,0.042,0.7202,16,5.538968991010018,0.9881708486824365,0.30159628465516086
33,78,0.7798,0.023,0.5673,21,5.8347772095077435,2.1057956815602688,0.8579630558949481
33,77,0.7335,0.037,0.5885,32,6.1064696084202295,2.23922807458122,1.1344830676780182
11,91,0.7476,0.037,0.7202,32,6.137996166453295,3.777054478874144,2.521883375158303
44,77,0.7663,0.037,0.5885,16,6.301823295849722,1.5818256034948253,0.6399953847097931
44,95,0.7663,0.042,0.6152,16,6.567796323330009,2.0952933841583246,0.14500587834337
11,91,0.7335,0.0488,0.5885,32,3.1438574482989905,1.7624293538205897,0.5628561889568017
16,90,0.7335,0.0463,0.5655,32,3.3828045366967157,1.5577699446765105,0.4500691840404107
28,90,0.7476,0.0463,0.6787,11,3.490910741316183,0.5271390211523203,0.3275434403277252
19,58,0.6383,0.0303,0.6339,15,3.736641345592883,1.4229522912472976,0.8273781086911696
16,90,0.7476,0.0488,0.5885,32,3.9442472790023797,2.058134106147636,0.5722263457094872
16,91,0.7335,0.0488,0.5885,32,3.9652109410122427,2.173772131602721,0.3828776188190429
28,90,0.7476,0.0463,0.6787,11,4.069040421370856,0.8460120720325376,0.8460566986766359
28,90,0.7484,0.0463,0.6787,11,4.376147302547912,1.2149262424217848,0.7224421202522522
28,90,0.7476,0.0463,0.7216,15,4.705303995772104,1.2916217284081395,1.227364534727927
28,90,0.7476,0.0463,0.6787,11,4.906472480408791,1.841066389745799,0.5308121813259825
16,91,0.7476,0.0488,0.7202,14,5.328146611316374,3.163353739705157,1.129585743222434
33,78,0.7476,0.0488,0.7202,21,5.497222409360049,1.8485394877324335,0.6973658432552295
11,77,0.7335,0.037,0.5885,32,5.832243795780366,3.5702134528534724,2.324060685853787
16,90,0.7476,0.0488,0.5885,11,5.8430118637486395,3.482784282363101,1.5204551627710774
19,91,0.6383,0.0488,0.6339,32,6.107339404008675,3.224863001359639,1.9649528052980707
16,90,0.7335,0.0463,0.5655,11,3.5158680373432647,1.702024613294628,0.42768684809727353
16,75,0.7335,0.0488,0.5655,32,3.577852962675082,1.6531198893696448,0.6494661466108743
28,90,0.7476,0.0463,0.6787,11,3.996254746021407,1.0589740532999496,0.2745613854429138
16,90,0.7476,0.0488,0.5885,32,3.999024691390451,2.2901073227436455,0.2178347372936108
28,91,0.7335,0.0488,0.7482,11,4.1897302216843215,1.2759019537771945,0.22765653581425255
28,90,0.7476,0.0463,0.6787,11,4.4661368140799205,1.1644907149355674,1.003292198288706
19,58,0.6383,0.0303,0.6339,32,4.69475287609092,2.6209776716499413,0.34755040888195726
16,90,0.7335,0.0463,0.5655,32,4.724926660779996,2.9020404052342195,0.44577251109155186
28,91,0.7586,0.0488,0.6787,32,4.7866016521751105,1.8074234333965222,0.35835643755717633
11,90,0.7476,0.0488,0.5885,32,5.034661464395633,2.6597169418110056,2.5498890451692544
11,91,0.7335,0.0488,0.5885,32,5.145957168094677,3.2931740285466806,1.5055662790959934
16,90,0.7476,0.0488,0.5885,15,5.432820346650416,3.5713732476609965,0.5228941979788385
