generations,population,crossover,mutation,elitism,bits,maximize,avg_fitness,std_dev,avg_generations
10,10,0.6,0.01,0.55,10,False,13.323261458113505,3.656811407460281,10
10,10,0.6,0.01,0.55,20,False,15.78318180426203,1.88193533026151,10
10,10,0.6,0.01,0.55,35,False,12.856137871559637,4.14930550614645,10
10,10,0.6,0.01,0.65,10,False,13.861101029423114,4.955107189619774,10
10,10,0.6,0.01,0.65,20,False,14.15278580330579,6.338606297815841,10
10,10,0.6,0.01,0.65,35,False,13.076520032077836,2.3257649951612187,10
10,10,0.6,0.01,0.75,10,False,15.5580606450171,3.395981459543362,10
10,10,0.6,0.01,0.75,20,False,12.349200559411159,5.517211802065864,10
10,10,0.6,0.01,0.75,35,False,13.661220586010039,2.7873583580095973,10
10,10,0.6,0.03,0.55,10,False,10.753065701015332,4.887777121267436,10
10,10,0.6,0.03,0.55,20,False,10.50254457098622,2.1358652889890455,10
10,10,0.6,0.03,0.55,35,False,9.658597741621339,4.6761841924466285,10
10,10,0.6,0.03,0.65,10,False,10.87096294745448,4.343974806792059,10
10,10,0.6,0.03,0.65,20,False,11.043509725134182,2.200049747582511,10
10,10,0.6,0.03,0.65,35,False,12.80857608649646,1.172089282484226,10
10,10,0.6,0.03,0.75,10,False,12.812358008196641,3.285109731257186,10
10,10,0.6,0.03,0.75,20,False,13.610927210298442,4.266016255938119,10
10,10,0.6,0.03,0.75,35,False,10.595496920339587,3.9440313954376793,10
10,10,0.6,0.05,0.55,10,False,10.237058090744357,3.8833148993365394,10
10,10,0.6,0.05,0.55,20,False,10.518309248170114,5.762948364342918,10
10,10,0.6,0.05,0.55,35,False,8.29429868321897,4.114432140404504,10
10,10,0.6,0.05,0.65,10,False,13.673831377041328,3.5369134330448855,10
10,10,0.6,0.05,0.65,20,False,12.330015571319903,3.7577135528519316,10
10,10,0.6,0.05,0.65,35,False,12.927715994499007,3.362357162920849,10
10,10,0.6,0.05,0.75,10,False,9.937081370135035,4.340108527490882,10
10,10,0.6,0.05,0.75,20,False,12.580505998703922,3.557520250418253,10
10,10,0.6,0.05,0.75,35,False,12.667455137322653,3.696607827807075,10
10,10,0.7,0.01,0.55,10,False,14.754768939771104,3.0047092127583084,10
10,10,0.7,0.01,0.55,20,False,13.842467216801124,4.885624738368729,10
10,10,0.7,0.01,0.55,35,False,13.245930381895999,3.3455709923613264,10
